INSERT
abaya =aba
cariostatic 止龋的
accelerated 加速的
bedrail 床栏杆
beddo 电子床
anchovy 凤尾鱼
cruciform 十字形的
cuttie 海雀
conversational 会话地
barilla 苏打灰
brickmaking 制砖业
aphemia 失语症
baritone 男中音
chaldee 占星术的
britisher 英国人
armhole 袖孔
cajon 狭谷
athwartship 横过船的
beerhouse 啤酒店
airfare 飞机票价
blackbird 山鸟类
bateau 小舟
coital 性交的
cubit 腕尺
boatmanship 操船技术
beret 贝雷帽
actinogram X光像
birdie 小鸟
chorogophic 地方志的
airsickness 晕机
andaman 安达曼人
canonical 规范的
amine [化]胺
cocoonery 养蚕所
archaean 太古代的
baccy 烟草
admissive 容许的
anything 任何事
alphametic 字母算术
arenic 竞技场的
autoecism 单主寄生
antheral 花药的
assertedly 据说
committee 委员会
ciseleur 镂刻者
accordant 一致的
attractableness 可被吸引
catfish 鲶鱼
caecum 盲肠
cretonne 印花棉布
anxiolytic 抗焦虑药
bioelectric 生物电的
clonic 阵挛的
antiskid 防滑装置
apprehensibility 能理解
blackish 带黑色的
anticline 背斜
brewster 酿造者
bowing 运弓法
brightsome 明亮的
bighead 自大
annexation 合并
corolla 花冠
beanpod 豆荚
biomedicine 生物医学
cricoid 轮形的
chainbridge 铁链吊桥
corbeil 花篮装饰
censer 香炉
commutable 可取代的
curvous 弯曲的
aspic 肉冻
accuser 原告
aperiodically 不定期地
continuative 继续的
acoustics 声学
assify 愚弄
chessman 棋子
continuable 可持续的
arbitrate 作出公断
chiphead 计算机迷
coetaneous 同时代的
antimonsoon 反季节风
aerodone 滑翔机
adulatory 奉承的
brickkiln 砖窑
chloromethane 氯甲
cupful 满杯
adoptability 采纳性
calculational 计算的
achromatophil 拒色组织
burgle 偷窃
ashpan 炉火盘
bight 曲线
avion 军用飞机
antinucleon 反核子
customarily 通常
academicals 大学制服
bisynchronous 双同步
bine 蔓藤
chemoreception 化学感应
bagful 满口袋
charlatan 吹牛者
assemblyman 议员
alienate 疏远
capitalism 资本主义
angelica 当归
catacoustics 回音学
chackle 喋喋不休
actionable 可控告的
cebuan 宿务的
clothespress 衣橱
achromatopsia 色盲
calescence 渐增温
centigram 厘克
acceptation 意义
choreodrama 舞蹈剧
cryogenics 低温学
carabin 卡宾枪
byway 小道
chirurgery 外科
corfam 人造皮
corkage 拔瓶塞
blueish 带青色的
airways 航空公司
complied 遵照
blackmarket 黑市
craterwall 火口壁
ambilateral 双方面的
chub 白鲑
brazil 巴西
bachelorette 未婚女子
binnacle 罗盘箱
catlap 稀薄饮料
altocumulus 高积云
armband 臂章
benediction 祝福
bacciform 浆果状的
critique 批评
applausively 喝采地
biomaterial 生物材料
comminatory 威吓的
bicorne 双角帽
atomistic 原子论的
culvert 管路
anaesthesiologist 麻醉学者
bigarade 酸橙
bordello 妓院
assistor 帮助者
clogger 木屐匠
abstention 节制
beechwood 山毛榉材
corposant 放电光球
claudication 跛行
cacodorous 有恶臭的
chili 红辣椒
almighty 全能的
chevy 追逐
chore 家务杂事
bullnecked 粗颈的
apepsia 不消化
bacteremically 菌血症地
benison 祝福
agonist 收缩筋
aaronic 亚伦的
camphire 指甲花
anthroponym 姓氏姓
bluejacket 水兵
chimerical 空想的
anticorrosive 防蚀的
bah 呸!
atrip 起锚
actinomycin 放射菌素
commandant 司令官
coinsurance 共同保险
chartered 受特许的
anticyclonic 反气旋的
captress 女捕快
annuli 轮环形
cranked 有曲柄的
concentrator 集中器
beekeeper 养蜂人
autoloading 半自动的
allness 全部
bored 无聊的
bypath 小路
aortic 大动脉的
adopter 养父母
chondrification 软骨化
accutron 电子手表
artless 朴实的
astronomically 天文学上
ascot 宽领带
catskin 猫皮
creed 信条
arriero 赶骡人
crossbowman 弩手
corolliform 花冠状的
amortizement 摊还
bugaboo 鬼怪
abacus 算盘
crabman 贩蟹者
airfield 飞机场
airslake 风化
conveniently 便利地
adela 阿德拉
coltsfoot 款冬
adjutage 喷射管
apposite 适当的
crosstie 枕木
bearbaiter 逗熊者
coatrack 衣帽架
antenuptial 结婚前的
congestive 充血的
cerebric 脑的
americanese 美国英语
atheism 无神论
balladeer 民谣歌手
apocarpy 离心皮
crux 症结
childing 怀孕的
congelation 冻结
bottleneck 瓶颈
bondmaid 女奴隶
butterine 人造奶油
castle 城堡
aerotropic 向气性的
alchemic 炼金术的
commie 共产党员
carbanion 负碳离子
caviare 鱼子酱
counterdrive 反强攻
aluminothermy 铝冶术
cicada 蝉
astarboard 向右舵
ablactation 断奶
carpenter 木匠
cautiously 慎重地
colatitude 余纬度
anorthic 三斜的
commonland 公共用地
christianity 基督教
additament 增加物
aspermous 无种子的
carbineer 卡宾枪手
amigo 朋友
apodia 无足
anniversary 周年纪念
bedroll 铺盖卷
aphlogistic 无火焰的
cullet 碎玻璃
charr 嘉鱼
antemeridian 上午的
brevier 八点活字
aerosiderolite 陨铁石
calibrate 校准
cobelligerence 战时盟国
arrear 欠款
apogeotropism 负地性
battledore 羽毛球拍
chessboard 棋盘
condom 避孕套
bacchii 短长长格
balanceable 平衡的
cleanish 颇清洁的
coulter 犁刀
biographer 传记作者
alleviator 减轻者
cerebrum 大脑
butterfish 溜滑的鱼
brahminism 婆罗门教
bacteriotherapy 细菌疗法
bacterial 细菌的
cathouse 妓院
cloudless 无云的
caucasia 高加索
accumbent 横卧的
colorway 色彩设计
carnose 肉的
brazenly 厚脸皮地
bachelordom 单身
brushup 擦打扮
cerebellar 小脑的
counterflow 逆流
bricky 砖的
cassareep 木薯浓汁
athletic 运动的
candlewick 烛芯
bellboy 侍者
battercake 煎饼
catnip 猫薄荷
crenelet 小枪眼
corpman 看护兵
cobaltiferous 含钴的
columbary 鸽棚
blaff 烩鱼汤
autotoxis 自体中毒
brassfounder 黄铜铸工
ampulla 圣瓶
counterpressure 反压力
cardboard 纸板
chazan 独唱者
chymist 化学
commandment 戒律
coehorn 掷弹筒
cleavable 劈得开的
behoove 适宜
bookrest 阅书架
clarion 号角
await 等候
bersagliere 狙击兵
cooperationist 合作论者
cocurriculum 辅助课程
cetology 鲸类学
condensation 浓缩
burin 冰凿
cognition 认识
briber 行贿者
colloquialist 谈话者
andirons 铁制柴架
arterialization 动脉血化
clothesbrush 衣刷
bonesetting 接骨术
assuetude 习惯
anteprohibition 禁令前的
afebrile 无热的
condyle 骨节
closer 靠近的
controlling 控制
crystallitis 晶状体炎
acrogen 顶生植物
bypast 过去的
anility 老态龙钟
aposematic 警戒色的
algous 藻类的
ctenophore 栉水母
atonality 无调性
antilope 羚羊
cracksman 盗贼
concavity 凹度
amole 皂用植物
actin 肌动蛋白
cablese 电报略语
ballerine 芭蕾舞女
cottonseed 棉籽
artificially 人工
connector 连接器
calibre 口径
breastbone 胸骨
altissimo 最高的
beekeeping 养蜂
abutting 邻接的
coverer 包装工人
aviate 飞行
burliness 结实
carafe 玻璃水瓶
amyotrophia 肌萎缩
adcolumn 广告栏
candescence 白热
circinate 漩涡状的
brassard 臂章
bahadur 阁下
autodial 自动拨号
curdle 凝固
connectible 可联结的
counterpropaganda 反宣传
coagulable 可凝结的
beneficiation 选矿
credence 信任
adaxial 近轴的
arthral 关节的
amphiarthrosis 丛和关节
compensable 可补偿的
affreight 租船运货
commenter 批评家
confederation 联邦
armchair 扶手椅子
bubby 乳房
centroid 质心
bawdily 淫秽地
capriform 如山羊的
cooper 制桶工人
automark 自动标记
bangbang 枪战影片
anesthesiology 麻醉学
calculagraph 计时器
corrida 斗牛
classroom 教室
bunchberry 御膳桔
abstersion 洗涤
apogee 远地点
collate 比较
balsamine 凤仙花
castte 城堡
bridesmaid 女傧相
aurochs 欧洲野牛
alas 唉
bifocal 双焦点的
anthophagy 食花
atom 原子
bookshelf 书架
armer 武装者
adjusted 调整过的
clomp 重踏着走
aquicolous 水生的
audiometer 听度计
aurinasal 耳鼻的
aerotherapeutics 空气疗法
assort 分类配全
bridecake 结婚蛋糕
blatancy 喧哗
centiare 平方米
cattleya 洋兰
auriform 耳状的
constructively 建设性地
bedtime 就寝时间
bacteriophage 抗菌素
appealable 可上诉的
bespectacled 带眼镜的
artificialize 使人工化
belong 属于住
bladesmith 刀匠
boneblack 骨黑
clidomancy 钥匙占卜
alienable 可让与的
braceleted 戴手镯的
amusing 有趣的
charcoal 木炭
chiseler 凿工
cocked 竖起的
bashful 害羞的
colorimetry 比色法
assurable 可保证的
babbittry 市侩作风
changeable 可改变的
chicagoan 芝加哥人
cataphoresis 电透法
considerably 相当地
asteroidal 星状的
baseless 无根据的
craniad 向头部
bulltrout 鳟鱼
biosphere 生物圈
cormophyte 茎叶植物
astonishing 可惊异的
astonishment 惊讶
compensator 补偿者
bookkeeper 簿记员
amnesia 健忘症
celsius 摄氏的
bismillah 真主啊!
bowls 保龄球
cooky 饼干
brassfounding 黄铜铸造
believer 信徒
bookstore 书店
acryl 压克力
charbroil 用炭烧烤
coil 盘绕卷
crabbery 捕蟹处
actinicity 光化性
chiaus 使者
bridgeable 可架桥的
cerebritis 大脑炎
aerotrack 飞机场
cosmonette 女宇航员
confidence 信心
acidophilic 嗜酸的
chemism 化学机制
affiche 公告
